Anime,Recommendation,Reasoning,Recommendation Power
Utawarerumono,['Reikenzan: Hoshikuzu-tachi no Utage'],"['The main similarities between these anime is the time period, the whole ""building an empire"", and the main characters are both op as all hell. Just a heads up, in Reikenzan, the MC doesnt start building an empire til season 2']",[1]
Mahouka Koukou no Rettousei,"['Reikenzan: Hoshikuzu-tachi no Utage', 'Quanzhi Gaoshou', 'Rokudenashi Majutsu Koushi to Akashic Records', 'Xian Wang de Richang Shenghuo']","[""Reikenzan is similar to Irregular at Magic High in the ways that the MC is super OP and things usually end up working in the MC's favor. Both main characters are highly intelligent and their peers look up to them. Theres also a strong focus on improving spiritual power, which is somewhat similar to the training in Irregular at Magic High"", 'The main character of both series are very similar. With somewhat similar personalities.', ""Protagonists who are lacking in ability according to societal standards but powerful in their own unique ways have always been present in all media. Akashic Records and Irregular at Magic High School are no exception to this.\r\n\r\nGlenn and Tatsuya are both looked down upon at first for their poor societal standings. However, their hidden and powerful skills draw the attention of others and allow them to gain immense respect. The two have hidden pasts that are actually quite similar. The only differences are that Tatsuya is much more calm, calculated, and pragmatic. \r\n\r\nIf you liked Akashic Records, I can almost guarantee you'll enjoy Irregular at Magic High School."", 'It has the same male protagonist whose special powers were way way above those around him, where he can do thing with precision that nobody else can and he can kick the asses of any enemy without breaking a sweat.']","[1, 1, 1, 1]"
No Game No Life,"['Reikenzan: Hoshikuzu-tachi no Utage', 'BNA', 'Kakegurui']","['Both of them are kind of light hearted with some interesting action/adventure that pulls you in. In both the MC is OP and things tend to work in their favor. They both share the whole ""empire building"" aspect. Reikenzan has a stronger focus on magic and training, while No Game No Life focuses more on having fun and playing games to conqure the world', ""Both are extremely colorful and have a similar art style. The setting is also similar and both start with a person finding themselves in a new place they'll have to adapt to with their own special skills."", 'In Kakegurui the students of a school decide everything by games like in No game no life where they are in world where everything is decided by games']","[1, 1, 5]"
Boku no Hero Academia,"['Reikenzan: Hoshikuzu-tachi no Utage', 'Enen no Shouboutai', 'Kimetsu no Yaiba']","['If you really like the whole ""Main Character trains to be a badass"" theme, then  you\'ll love Reikenzan. Like My Hero Academia, almost the entire plot has to do with the Main Character training to be stronger, or to be able to withstand someone else\'s powers. Its does well balancing lightheartedness with action, adventure, and comedy. Similarly, it has a strong focus on the main character training to become better as well as learning from masters. Also, the MC is super smart and OP as hell. I will say though that its slower paced than MHA, and a bit goofier. Overall I suggest this anime if you like MHA', 'Shonen set in a modern setting with super powers, both have a similar feel with many humorous moments between colorful casts in between high energy action scenes.', 'Two mainstream Shounen Jump anime with similar protagonists. Large amounts of comedic relief with side characters and self-improvement with protag. Slower-paced story with every fight lasting three to four episodes.']","[1, 2, 1]"
Densetsu no Yuusha no Densetsu,['Reikenzan: Hoshikuzu-tachi no Utage'],"['Reikenzan felt like a more comical, lighthearted version of Legend of Legendary heros. Its does well balancing lightheartedness with action, adventure, and comedy. Similarly, it has a strong focus on the main character training to become better as well as learning from masters. Also, the MC is super smart and OP as hell. One thing though is its not as much adventure as Legend of Legendary heros']",[1]
Kono Subarashii Sekai ni Shukufuku wo!,"['Reikenzan: Hoshikuzu-tachi no Utage', 'Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Princess Connect! Re:Dive', 'Shinchou Yuusha: Kono Yuusha ga Ore Tsueee Kuse ni Shinchou Sugiru', 'Isekai Quartet', 'Aho Girl', 'Boku no Tonari ni Ankoku Hakaishin ga Imasu.', 'Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.', 'Hataage! Kemono Michi']","['Both are:\r\n• Light hearted\r\n• Funny\r\n• Some action/adventure\r\n• MC gets stronger\r\n• Reikenzan is a bit more serious and focused on training than Konosuba', ""Both of these shows are pinnacle of the anime comedy genre, if you think that it's you don't like japanese comedy, please make a effort of watching any of this series. I hope you will enjoy"", 'Another Fantasy style world with many jokes and an easy watch. But with Konosuba we get a more emotional MC (, somewhat smarter adventurers) and no flashbacks to the time before our MC death.\r\nIn my opinion, Konosuba is in nearly every aspect the better princess connect redive only the Moe aspect is a lot weaker.', 'This show is really simmilar to konosuba so if you like these type of comedic shows you will like this one too :)', 'While Isekai Quartet is a combination of four different shows, there is no denying that the show feels very much like a Konosuba spin-off compared to the feel of the other shows.', '- Both have dumb/air-headed MCs\r\n- Both have a smarter friend (also MCs)\r\n- Slapstick humour', ""Both shows contain: \r\n- MC stuck with several idiots\r\n- a delusional chūnibyou character\r\n- a masochist\r\n- side character that stalks MC's companion with whom they shared a few past interactions with\r\n- a useless character with blue hair\r\n- a somewhat sane character that the MC falls for"", 'Similar style of anime, both very much focused on comedy and filled with memes and stupidity', ""while you enjoy the first episode you may think that it will be like typical harem anime. IN fact this is about some good weirdo lurking around in isekai.\r\nboth have funny male lead who can't behave like a submissive dog in front of naughty cute girl""]","[1, 1, 4, 5, 1, 1, 2, 1, 1]"
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,"['Kami no Tou', 'Devilman: Crybaby', 'Kakegurui']","['Danganropa And tower of god Both same Theme play or die, PvP, And High Stakes Games', 'If you really liked the stylized way Devilman: Crybaby was produced and the way the end played with everything you thought you knew about the world, Danganronpa sounds like a perfect fit. Both anime are very stylized with horror/psychological plot undertones. Also, if you really like seeing characters maimed and disembowelled through fun colours and creative ways, this is yet another reason why Danganronpa: The Animation would be perfect for you.', 'Both animes are very similar as they both have a twisted feel to them and they are both based in a school. The animes also appear to have a very similar art style with great characters in both! x']","[1, 1, 1]"
Kaichou wa Maid-sama!,"['Ookami Shoujo to Kuro Ouji', 'Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen', 'Nijiiro Days']","['both very cute romance shoujo.', ""In both of these Anime, the female MC loves the boy but she can't accept that fact and wants the boy to make a move. \r\nHowever, in Maid-Sama the guy loves the girl and doesn't hide his love for her."", ""The relationship between Mattsun and Mari was very similar to that of Maid-sama. Misaki and Mari: they both hate men, they are aggressive too. Mattsun and Usui: they are very popular among girls and their personality was so similar. Blabla. If you miss Usui and Misaki, then you'll definitely love Mattsun and Mari! <3""]","[1, 1, 1]"
Tonari no Kaibutsu-kun,['Ao Haru Ride'],['They are both really short romance animes that you can finish in a day. I thought they were both really cute and enjoyable at the same level.'],[1]
Koi wa Ameagari no You ni,"['Yesterday wo Utatte', 'Karakai Jouzu no Takagi-san 2']","['Yesterday and After the rain show a different perspective of the same topic: love with  an age difference. After the rain has a lighter and more innocent perspective, while Yesterday is a bit more serious', 'Both are feel-good kind of slice of life/romance anime. Both of them have a very different appeal but you would enjoy watching one if you loved the other.']","[3, 1]"
Beelzebub,"['Enen no Shouboutai', 'Mairimashita! Iruma-kun']","['Evil Smile of Protagonist\r\ncomdey\r\ndemons\r\nGirls around protagonist\r\nFights\r\nAction\r\ncharacter gradually subdues foes and attain more devilious power', 'Both MC that have contact with demons, makai and are great commedy.']","[1, 1]"
Darling in the FranXX,"['Gleipnir', 'Listeners']","['In the both anime, main boys and main girls drive a powerful vehicle from themselves as one body.', 'Both shows has a similar concept with ""boy-meets-girl"" story, where main hero meets a strange girl, who has a  superpowers. And also has a similar concept of the world, where there are monsters threatening to destroy humanity and robots that save people.']","[1, 1]"
Psycho-Pass,"['Fugou Keiji: Balance:Unlimited', 'Id:Invaded', 'Pet', 'Tokyo Ghoul']","[""In both anime, the two detectives who don't get along with each other. The reason they can't get along is because they want to solve things with different solution methods."", 'These two shows are similar because they are tied to the concept of the human mind. In both shows the unconscious is the key to solve crimes, which are measured by how corrupt or messy it is. The protagonists of both series start to question the system', 'Dark atmosphere of the world, complex characters, corrupt governments and people who want to be free and live in a world of justice.', ""Both of these shows have a very similar aura to them that once you've watched one of them, the other will feel very comforting & familiar.\r\n\r\nBoth of these anime even have the same artist performing their season one intros!""]","[1, 7, 1, 1]"
Clannad: After Story,"['Shigatsu wa Kimi no Uso', 'Usagi Drop', 'Golden Time', 'Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.', 'Little Busters!: Refrain', 'Violet Evergarden']","['Both are beautiful series that will hit you in the feels. If you liked Clannad and Clannad: After Story, definitely watch Your Lie In April (Shigatsu wa Kimi no Uso).', ""DO NOT READ IF YOU HAVEN'T WATCHED CLANNAD: AFTER STORY\r\n\r\nIf you liked the last part of Clannad after the turning point, you will really like Usagi drop. The entire anime is about the interactions of the two characters in a unique way for most anime. However for the most part where Clannad had a heavy sense of regret and sadness in it, Usagi Drop is much more light hearted, although still relatively serious discussing some topics about how children treat each other, and later on how adults treat each other too. The specials weren't bad either, even though they were to short to get any real story or meaning into. They did give some happy scenes between the two main characters."", 'If you liked a Couple anime here is another one, enjoy.', 'Clannad Afterstory is the sequel (second season) of Clannad. What makes it similar to Ano Hana is that they both utilize drama and emotions to their fullest potential. These are tales of love and family, friendship and loss, that will take you on a roller coaster of emotions as you walk with the characters from the first episode to the last. \r\n\r\nBoth shows utilize their soundtracks and music super well to support particular scenes appropriately and to convey a message. There are also minor touches of the supernatural used to support the story, yet make the shows unique in their own ways. These are both shows that I wish I can re-watch from scratch without any memory of it! Because the journey was simply phenomenal and once-in-a-lifetime like!', 'The emotional scenes in Little Busters are quite same as the Clannad after story. Despite their stories  are different, the main character who lacks something compared to others but still tries to move on from his horrible experience thanks to the people around him.', ""If you loved Clannad: After Story, Violet Evergarden is for sure the next anime you would like to watch. Violet Evergarden is also produced by Kyoto Animation, one of my favorite studios. It has one of the best animations I've ever, beautiful soundtrack, and tells heartbreaking stories just like Clannad does. It just has 13 episodes, so there's no excuse to not watch it. Give it a chance, I'm sure you won't regret it!""]","[1, 1, 1, 1, 1, 1]"
Sasameki Koto,['Yagate Kimi ni Naru'],"[""both show the more realistic life of wlw and how it is to discover this part of yourself. they both don't oversexualize the relationshipof two teenage girls. \r\n\r\nthe main couple of sasameki koto is different as murasame and kazama are childhood friends. kazama is an openly gay teenage girl and doesn't have many friends because of this. murasame, her best friend has a crush on her and kazama has yet to realize her feelings.""]",[1]
Netoge no Yome wa Onnanoko ja Nai to Omotta?,"['Gamers!', '3D Kanojo: Real Girl', 'Net-juu no Susume']","[""Basically, the similarity between the two shows is gamer's trying surviving in real life.Both have lots of romance too."", 'Both are high school romance anime in which one of the leads is a shut-in who hates ""normies"" and has little to no social life, while the other is more well adjusted. The notable difference is that in 3D GF the guy is the shut-in, while in Netoge no Yome it\'s the girl. Netoge no Yome also has much more fanservice.', 'both are stories around girls that are Neets or want to be Neets\r\nBoth female mc had problems social anxiety to the point one gave up a promising career and the other barely goes to school and interacts with others. Both only seem to be happy functioning in the online in MMORPG. both deploy relationship with an online friend that the meet in IRL and awkward romance comedy ensues.\r\ndifference Netoge is circle around highschool students and the MC reaction to meet her online husband is far different than Net-juu. Netoge is the lighter hearted of the two but still with the social anxiety and they way the MC deal with it.']","[2, 1, 1]"
Fate/stay night,"[""Darwin's Game"", 'Toaru Majutsu no Index']","['Both shows are involved in a situation where fighting to death is inevitable and you need to survive. In both shows the MCs are similar in their way of thinking (their morality and ideals) and also have more or less the same power. I found Fate better because of the world-building depth and magic rules, and way more original.', '- Both have magicians\r\n- ""Normal"" Heroic main character practically useless but with an especial usefull hability.\r\n- Talented tsundere girl as partner.\r\n- Protects and is protected by a strange girl not very used to modern world.\r\n- childish teacher-mommy']","[2, 1]"
Prison School,"['Grand Blue', 'Kakegurui']","[""They're equally funny, so if you liked Prison School you'll also like Grand Blue.\r\n\r\nOBS: The stories are very different, the only common fact is the comedy"", ""'Prison School' is similar to 'Kakegurui' when it comes to the story setting, which is a high school ground filled with elites. Both anime enlighten that the students there are more concerned about gambling, manipulate, peeping girls on compromising situations, badly injuring others, treating others like slaves, do ecchi etc., rather than living a rather peaceful school year. Both contain character's with sadomasochism and masochistic tendencies.""]","[2, 1]"
Seirei no Moribito,"['Kimetsu no Yaiba', 'Michiko to Hatchin']","['They both follow Japanese folklore, the main character travels and protects someone. They both are on a mission for removing a curse and learn information about it in this journey.', 'Both are road movies with the traveling couple consisting of a warrior type, big-hearted but badass female lead with a shady past and a child she protects. While in both there is a McGuffin to travel to, the character development during the trip and the slow bonding has the main stage. Both feature smooth animation and great art, good fight scenes, recurring and developing side characters.']","[1, 1]"
Kyousou Giga (TV),['BNA'],"[""It's hard to believe that Trigger had nothing to do with Kyousou Giga yet it very similar to anime produced by that studio. I would describe it as something that trigger could do if they focused on plot instead of going crazy 99% of the time.\r\nIf you like Trigger animation style you should check that one out because usage of animation for comedic effect and overall no brakes while drawing policy almost identical.\r\nAlso events of both series are taking place in city, so I couldn't help but compare Animacity to Kyoto.""]",[1]
Tengen Toppa Gurren Lagann,"['BNA', 'Promare', 'Darling in the FranXX', 'Kimetsu no Yaiba', 'Redline', 'Ryuuseiki Gakusaver', 'JoJo no Kimyou na Bouken Part 3: Stardust Crusaders']","['The premises of Tengen Toppa Gurrenn Lagann and BNA are essentially inversions of each other. In TTGL, the humans are forced into hiding due to conflict with ""Beastmen""- a species of anthropomorphic animals who have the ability to shift into humanoid form. In BNA, the ""Beastmen"" are forced into hiding due to conflict with humans. \r\n\r\nThe director, one of the scriptwriters, and the character designer of BNA have previously worked on Gurren Lagann. In all likelihood, if you like one series, you\'ll like the other. \r\n\r\nBoth series explore the biology of its characters. TTGL has ""Spiral Power"", and BNA has the ""Beastman Factor"". These serve as explanations for the characters powers. \r\n\r\nBoth series explore religion as a method of control, especially in impoverished areas. \r\n\r\nBoth series explore the internal politics of a city, and the ways that governments attempt to police discontent within a populace.\r\n\r\nBoth series also feature a character who inexplicably changes species. \r\n\r\nBoth series also feature a character who is seemingly immortal. \r\n\r\nBoth series also features a human being and a beastman who put aside their differences and ultimately work together for a common goal. \r\n\r\nBoth series share similar themes about believing in oneself and the power of change and evolution.', 'similar in spirit alone, characters much much less alive and  story and subject matter is nothing gurren lagann.\r\n\r\nIm a die hard gurren lagann fan and found elements to be the same but this one was very very 3rd rate.', 'both have similar stories but gurren lagann is lowkey better', 'Both not only extremely well animated short shonens but also go beyond that, having their own ""flair"". Solid soundtrack, plenty of sakuga and chill inducing moments, solid protagonists and character growth.', 'Fast-paced, really likable characters, a unique art-style and is simply full of personality.\r\n\r\nBoth great in his own little world, give them a chance.', ""A child / children, inspired by an older male figure, decide to pilot a robot with imaginative powers and a combining gimmick in order to fight for the survival of their people and the expansion of their understanding. As things develop, the heroes and their allies forge bonds with their rivals in order to confront the oncoming end of the universe itself.\r\n\r\nGakusaver is much more low-key and playful while Gurren Lagann is more high-octane and crazy, but there's a lot of shared theming at the core of these anime."", 'Both have a sense of adventure, as in going to new places and fighting new enemies. They both introduce new characters as the adventure goes on. Both art styles are unique but not similar. The cast is likable even the villans they all have pretty unique personalities as well.']","[1, 4, 2, 1, 1, 1, 1]"
Druaga no Tou: The Aegis of Uruk,['Kami no Tou'],"['In my opinion, there is a lot in common with these two series far away. Both speak about a tower that can grant a desire. \r\nDruaga no Tou like to be darker than Kami no Tou, but both are similar. \r\nI think that both are good series if you like a little mystery, action, and romance. I enjoyed both a lot, and I think that if you have free times, it can be a good choice']",[1]
Wotaku ni Koi wa Muzukashii,"['Rikei ga Koi ni Ochita no de Shoumei shitemita.', 'Net-juu no Susume', 'Net-juu no Susume Special']","['Adult acting like teenagers in love, pretty wholesome.', 'Both have game scenes and romance.\r\ni really enjoyed watching both.\r\nsweet romance\r\n\r\nsorry for my bad english, it is not my mother language', 'Both series are a romance between two ""nerdy"" characters. Be it nerdy about otaku things and/or videogames, they give off very similar vibes.']","[2, 3, 1]"
Maison Ikkoku,['High Score Girl'],"['Both have timid but realistic main character that fall in love with a girl that seems to be way out of they league, in both you see support character trying to steam up the romance because in booth animes the couples are too timid, the main women of both animes haves strong motives to be timid, i also in both animes you see time passing, i give a 10/10 for both.']",[1]
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"['Boku dake ga Inai Machi', 'Bokura no Nanokakan Sensou', 'Violet Evergarden', 'Mirai Nikki', 'Shelter', 'Kimi no Na wa.', 'Tasogare Otome x Amnesia', 'Koe no Katachi', 'Kimi to, Nami ni Noretara', 'Shigatsu wa Kimi no Uso']","['Its really similar pace wise yet it is more on the thriller side of things.', 'a group of friends strengthens their bonds while they join for a common cause, along the way they all fight until they decide to be sincere with one another', ""They're both very emotional and amazing."", 'We can say that ""the main idea"" and the message of the anime is the same as in Mirai Nikki. But we can also say that anohana is recommended for kids while Mirai Nikki is just for adults because there are some bloody scenes among other things.', 'The amazing graphics and images are really good in both of these ""animes"" (I do not consider shelter as being only a music). Both of they are really realted to love and needing to save someone. Both can make you cry.\r\n\r\nShelter is also related to ghost in the shell and animatrix.', 'This movie made me feel like watching anohana and angel beats, these 3 animes can make anyone cry.', 'I\'m honored to say that this anime is a little bit similar to animes that are really really good like the animes, Deadman Wonderland, Sword Art Online, Mirai Nikki, AnoHana and probably other really good animes that I\'ve watched buy can\'t remember right now. This anime taught me that I should never ""JUDGE AN ANIME BY THE SYNOPSES ONLY"" or ""JUDGE AN ANIME/BOOK/MANGA BY THE COVER ONLY"".\r\n\r\nThis anime had a really different ending that I couldn\'t even imagine... The anime started being funny but you will see that this anime is really really similar to AnoHana and almost will make you feel like watching AnoHana.\r\n\r\nIf you can\'t believe in what I\'m saying please keep reading...!\r\nI\'ve found a website on the internet saying that; The Silver Link studio (that also made the good anime, Baka to Test to Shoukanjuu) is the one that made the animation of the anime Tasogare Otome x Amnesia. By the way, Katsuhiko Takayama, (that composed the history of Mirai Nikki) worked in the composion and history of the anime Tasogare Otome x Amnesia!!!\r\n\r\nThe trailer of the anime Tosogare didn\'t show anything nice, First I\'ve watched the anime and I\'ve watched the trailer just after watching everything so, If I was to judge this anime just because of the trailer or because of the synopsis I probably wouldn\'t have watched this anime, so please watch this anime! and judge just later,this anime is really short and great, please give it a try!', ""These anime share that theme of teenagers struggling to overcome a dark event from their past, for one.\r\n\r\nBut mostly, I got a really similar feel from Jinta's and Shoya's characters and how they were affected by their individual tragedies. They both start out as confident, outgoing little boys-- the ringleaders of their groups of friends. ...And then grow up to be really withdrawn and insecure. It was one of the most striking elements of A Silent Voice for me, and though the focus on that element in Jinta's story is a little more subtle, it's definitely there and reminded me a lot of Shoya."", 'With a mix of romance, supernatural elements, and character growth through overcoming grief, these shows walk very similar thematic ground.', 'An emotional ride. A character-driven story of overcoming trauma and coming to terms with oneself.']","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Sakamichi no Apollon,"['Given', 'Fugou Keiji: Balance:Unlimited']","['Kids on the Slope and Given connect based on music mostly, but there’s also the theme of friendship and romance present in both. In both of them, two people get closer based on their love for music, and the main protagonists are both new to what they’re doing.', 'An endearing duo pairs up and goes on adventures together.']","[1, 1]"
InuYasha (TV),"['Nurarihyon no Mago', 'Sengoku Basara', 'Kamisama Hajimemashita', 'Kimetsu no Yaiba']","['Half youkai/ Half Human and long white hair.', ""Sengoku Basara seems to at times either inflate characters to such unrealistic proportions that the result might not be as expected (which might be due to relying on an arc for episodes, where other anime like Inuyasha tend to go on at length and so it isn't a burst as such)."", 'Inuyasha rip-off\r\n\r\nBoth show literally a white fox person that used to like someone else in the past, the girl then tries to get the white fox to like him. Kamisama in a spinning imagine knock-off InuYasha', 'Both are supernatural shounen anime set in historical Japan where numerous characters (Human/Demon) are fighting for their own reasons. We get to see many sword fighting styles and different power users.  The antagonists (Muzan & Naraku) are very similar in their cruel and manipulative nature. Both are action packed adventure and pretty entertaining.']","[1, 1, 1, 1]"
Deadman Wonderland,"['Tokyo Ghoul', 'Kami no Tou', 'Yakusoku no Neverland', 'Shingeki no Kyojin']","['Tokyo Ghoul and Deadman Wonderland are both about normal students who gain abilities. After gaining those abilities, they have to fight against organizations that the civilians trust, making it harder for them to accomplish goals. Both contain gore, fights, and a lot of obstacles being randomly thrown in (to the main characters’ surprise).', '- Different levels you have to pass\r\n- You have to fight and use strategies to pass\r\n- Both have a secret background story', ""This anime is really similar to deadman wonderland and death note, because you need to be the smarter guy, otherwise you die. Deadmand wonderland is almost about just getting outsite the jail, and that's also the base for the anime yakusoku no neverland."", 'they are both  depressing. \r\n\r\nthe animation on both of them is done very well in my opinion. \r\n\r\nboth of them have a rather classic shounen structure in regards to the treatment of the protagonist. \r\n\r\nalso both of them are supernatural. you get a similar feeling from both of them. although i would say attack on titan overall is abit better as the  ending to deadman wonderland is just a backhand slap. with that ending a sequal is neccessary but none will come. my only complaint is that one of the episodes makes abolutely no  sense.']","[1, 1, 1, 1]"
Kuzu no Honkai,"['Araburu Kisetsu no Otome-domo yo.', 'Yesterday wo Utatte', 'Domestic na Kanojo', 'Beastars']","['In both series there\'s that ""unfulfilled""  love. Main characters are a little different. In both titles emotions are shown as difficult and hard to understand.', 'Both have that same kind of romance where young girl fall for older guy and young guy falls for older woman , however in one anime the young duo ends up using each other as the alternate for the ones they love while the other one did manage to fulfill their desires for each other in the end.', 'both are romance stories for the ""more mature"" audiences', ""Some of the characters in Scum's Wish are similar to the relationship Haru has with men. Male characters have to accept the lascivious nature of the women. The women have to think about the best ways to handle their mental health.""]","[1, 2, 4, 1]"
Monster,"['Death Note', 'Blood+', 'Banana Fish', 'Beastars', 'Kenpuu Denki Berserk']","['Same thrill,suspense in both the series.While in Monster there is wider cast of characters.Sense of justice,what is right or wrong? both series ask these questions', 'Both are slow paced anime that share the same atmosphere where the mystery is unveiled slowly, and there are some in-between yet relevant drama episodes serving as a windows for character development. Also, it is a bonus for you if you prefer an anime with a large cast of characters.', 'Both are dark, psychological and thriller. Both take place jn foreign countries, Banana Fish in the USA and Monster in Germany. They show a dark side of society. While Monster is slow paced, Banana Fish has a faster pace', 'Both these anime are about the suppressed personalities of the main character which is the due to the society and people around them.Though beastars is a animaistic short shounen version of monster.', 'Although Berserk and Monster are VERY much diffrent when it comes to settings and pretty much everything else, but they shares the same level of grimdark tragedy at both respective nature.\r\n\r\nMonster is realisticly and humanly grimdark, meanwhile, Berserk is unrealisticly very brutal and full of extreme horrors a\'la dark fantasy.\r\n\r\nAlso, Guts and Tenma have the simillar reason of revenge. What is their simillarities of their revenge reason? They have to destroy their enemy for good once they know about both of their enemy\'s true identity.\r\n\r\nWhile we can see the simillarities between Johan and Griffith is that they viewed by the other as ""flawless"" and ""perfect"" charismatic person, but with the dark side as their true identity.']","[3, 1, 2, 1, 1]"
FLCL,"['Kekkai Sensen', 'Yesterday wo Utatte', 'Flip Flappers', 'Bakemonogatari', 'Alien 9', 'Eizouken ni wa Te wo Dasu na!']","['- The MC (a young boy in both anime) will confront crazy things going on him \r\n- Anything can happen in their world\r\n- Soundtrack is great \r\n- Similar atmosphere \r\n- Amazing battle animation', '- Both anime have a bittersweet atmosthere at some point Good camera aesthetics.\r\n- The MC iin YwU is and young adult without motivation while the MC in FLCL is a teenager who tries to act mature.\r\n- There are girls who represent the past and the future (YwU) and childhood and adulthood (FLCL). Both have two girls who represent each of the phases and how their way of life affect the MC.\r\n- While YwU is more melodramatic and conscious, FLCL is more avant-garde and deep.', ""There are some similar things between both shows, but the most obvious one is, they're both coming of age stories, that are told in a somewhat more...weird way with lots of symbolism and a more episodic structure, before everything comes together in the end.\r\n\r\nThough FLCL focuses more on themes of sexuality and maturity, while Flip Flappers is much more about the growing up part, as well as trying to find out, what you want to do in your future.\r\n\r\nAlso FLCL takes place in a relativ normal city, where just a bunch of giant robots and aliens start to appear, while Flip Flappers plays in different worlds, all with different and unique styles and stories to tell."", ""Both have a teenage male protagonist that gets mixed up in the first episode with a supernatural girl with crazy powers who fights weird monster apparitions with him. There's also a lot of insane visuals and fourth wall breaking storytelling and insane humor. Both also have a very memorable and iconic soundtrack and and overall similar aesthetic."", 'Both are short OVAs which blend coming of age themes and creative science fiction elements. Other similarities include absurd characters and striking visual presentations.', 'Sometimes creativity wins reality. Please don\'t kidding fiction. This concept has unlimited possibilities.\r\nBoth are obviously similar. Everything except story. These shows have excellent visuals and lovely characters.\r\nEspecially Haruko and Kanamori. Their looking are very similar and they have unique thinking. They\'re strong women.\r\nAs I said before, visuals are amazing and well-made. Eizouken monochrome animation reminds me of FLCL battle scenes.\r\nIn other words, both have creative expression. Not only art, but music impact is truly wonderful.\r\nFLCL songs and Eizouken OP song are very catchy, ""cooly"". You\'ll like it if you wanna listen catchy songs.\r\nHumors are funny and random. FLCL is more high tension, and has cartoonish scenes. Eizouken tends to over the top.\r\nOnly difference. FLCL is a bit darker and complex story. Eizouken is lighthearted relatively, but little flat.\r\nNevertheless, I love both style so much because they have stylish visuals. Of course, not only that.\r\nBoth makes us think ""The way for enjoy anime is what seriously?"" Anyways, must watch. Interesting is good thing.']","[1, 1, 1, 1, 1, 2]"
Full Metal Panic? Fumoffu,['Grand Blue'],"['Full Metal Panic? Fumoffu or Grand Blue With both share the Gag and Slapstick tags as there main style of comedy. In very different ways, which is mainly due to the premise of each anime, they both deliver some serious laugh-out-loud moments.']",[1]
Made in Abyss,"['Shoujo Shuumatsu Ryokou', 'Kemurikusa (TV)', 'Yakusoku no Neverland', 'Hakumei to Mikochi', 'Kami no Tou', 'Somali to Mori no Kamisama']","['Both develop the theme of a post apocalyptic world, however even when Made in Abyss is presented to us as the cruellest story, it is, without a doubt, also the most accessible because Shoujo Shuumatsu invites us a little more to reflection due to its slower pace.', ""There's strong adventure game vibe to both of these, plus cute looking characters participate in a somewhat darkish story."", 'Both are dark anime, and have children being hurt bad', ""The third entry in the Great Potato Trifectia of 2017-18 (after Shoujo Shuumatsu Ryokou and Made in Abyss), Hakumei to Mikochi follows a grand tradition of potato anime: A small cast of absurdly cute characters, detailed setting with plenty of exploration and beautiful scenery, combination slice-of-life and adventure elements, great music and OST, and crucially, it's super comfy. Hakumei to Mikochi may very well be the comfiest anime ever: grab a blanket & curl up."", 'Both were done by the same music composer (Kevin Penkin) but I want to say all about the differences of two animes like:\r\nKami no Tou (Tower of God) in english is more darker than Made In Abyss\r\nTower of god is a korean manga adaptions and Made In Abyss is a japanese manga adaptions as well.', 'An adventure with a children looking for her parents, relaxing soundtrack and breathtaking sceneries, looks innocent and calm on the outside but story and action takes you by offguard.']","[4, 1, 5, 1, 1, 1]"
Tsuma Netori: Ryoujoku Rinne,['Tsuma ga Kirei ni Natta Wake'],['Similar animation \r\nBoth have nte'],[1]
Ashita Sekai ga Owaru toshitemo,['Hello World'],"['What you’ll first notice is the 3D animation. Both films use this style, and if you’re worried about it; just perish the thought. As most anime use 2D animation, it might seem new and alienating but you’ll get used to it. Both films have a lot of similarities. There’s the conflict with the alternate universe and the protagonist’s other self is his companion. The plot also revolves around twisting fate in order to be with the one they love. With Ashita Sekai ga Owaru toshitemo, it focuses more on the sci-fi aspect most especially on the second half. Of course, I wouldn’t miss out the bad-ass fighting scenes on this one.']",[1]
RobiHachi,['Kanata no Astra'],"[""sci-fi and comedy go hand in hand in both of these shows, though I most say that RobiHachi is much more on the comedy side than Kanata no Astra, and Kanata no Astra has a better storyline I guess ( both are comedies in the end and shouldn't be too fixed on the story anyways in my opinion), so in conclusion if you enjoyed the comedy aspect of Kanata no Astra you will definitely enjoy this one""]",[1]
Orenchi no Furo Jijou,['Kobayashi-san Chi no Maid Dragon'],"[""- Both revolve around an ordinary person finding an injured and or dying mythical being and takes them in\r\nas a way of help (well, MKDM's case is becasue of the power of being a drunk dumbass)\r\n\r\n- Both have a bit of a BL, well, this time a bit of a GL vibe\r\n\r\n- Like Orefuro, there are a variety of Sea Mon- I MEAN DRAGONS that show up throughout the series""]",[1]
